"","motion_no","title","proposed_by","tabled_dt","debate_dt","motion_text"
"316","NDM6017","NNDM6017 - Assembly Debate","Elin Jones",2016-05-27,2016-05-27,"To propose that the National Assembly for Wales, in accordance with Standing Orders 33.6 and 33.8:Suspends that part of Standing Order 7.1 that requires the consideration of a motion to appoint members of the Commission no later than 10 days after the appointment of the Business Committee, to allow NNDM6018 to be considered in Plenary on Wednesday 8 June 2016."
"317","NDM6018","NNDM6018 - Assembly Debate","Elin Jones",2016-05-27,2016-05-27,"To propose that the National Assembly for Wales, in accordance with Standing Order 7.1, appoints Joyce Watson (Welsh Labour), Dai Lloyd (Plaid Cymru), Suzy Davies (Welsh Conservatives) and Caroline Jones (UKIP Wales) as members of the Assembly Commission."
"318","NDM6019","NNDM6019 - Assembly Debate","Mark Isherwood",2016-05-31,2016-05-31,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.2:Agrees that The Disabled Persons (Badges for Motor Vehicles) (Wales) (Amendment) Regulations 2016, laid before the Assembly on 30 March 2016, be annulled."
"331","NDM6216","NNDM6216 - Debate on Members’ Legislative Proposal","Neil McEvoy",2017-01-23,2017-01-23,"To propose that the National Assembly for Wales:1. Notes a proposal for a No Soldier Left Behind Bill.2. Notes that the purpose of the Bill would be to ensure a guaranteed bill of rights for Armed forces veterans to services from public bodies in Wales, including but not limited to:a) guaranteed access to social housing, including adaptations if necessary;b) priority need when presenting as homeless; and c) fast-track treatment on the NHS.3. Notes the Welsh Affairs Committee report 'Support for Armed forces veterans in Wales', highlighting the difficulties that veterans have in accessing social housing in Wales.4. Notes that soldiers should not be left behind on the battlefield and so they should not be left behind when their proud service is over.'Welsh Affairs Committee - Second Report - Support for Armed Forces Veterans in Wales – 5 February 2013'"
"333","NDM6224","NNDM6224 - Debate on Members’ Legislative Proposal","Mike Hedges",2017-01-26,2017-01-26,"To propose that the National Assembly for Wales:1. Notes a proposal for a Bill on the regulation of Letting or Management Agent Fees charged to tenants.2. Notes that the purpose of the Bill would be to:a) prohibit letting and management agents from charging any fine, sum or pecuniary consideration, including any service or administration fee or charge, in connection with the grant, renewal or continuance of a residential tenancy, other than rent and a refundable deposit, to tenants and prospective tenants, so that tenants and leaseholders aren't financially excluded from accessing the private rental market;b) regulate the maximum amount which tenants may be asked to pay in respect of a refundable deposit; andc) ensure consistency of legislation between Scotland, England, and Wales on this matter, where possible."
"334","NDM6225","NNDM6225 - Debate on Members’ Legislative Proposal","Vikki Howells",2017-01-26,2017-01-26,"To propose that the National Assembly for Wales:1. Notes a proposal for an Accessible Play Bill.2. Notes that the purpose of this Bill would be to improve accessible play opportunities by placing a duty on local authorities so that they must provide play equipment that meet the needs of children with disabilities."
"335","NDM6226","NNDM6226 - Debate on Members’ Legislative Proposal","Eluned Morgan",2017-01-27,2017-01-27,"To propose that the National Assembly for Wales:1. Notes a proposal for a Bill on requiring local authorities to commission care services only from providers who pay the Living Wage.Notes that the purpose of this Bill would be to:(a) introduce a requirement for Welsh Local Authorities to award contracts to care service providers who pay their employees the Living Wage *currently £8.25 per hour;(b) improve the pay standards of staff, aligning the hourly rate with that of public care workers in Wales;(c) improve sector employability prospects through enhanced pay, reducing prohibitive cost and reliance upon agencies; and(d) improve the value and status of care work to support mutual respect between people who provide care, and people who receive it."
"341","NDM6261","NNDM6261 - Debate on Members’ Legislative Proposal","Gareth Bennett",2017-03-09,2017-03-09,"To propose that the National Assembly for Wales:1. Notes a proposal for a Bill on letting or management agent fees charged to tenants.2. The purpose of this Bill would be to:a) to prohibit letting or management agents from charging any fine, sum or pecuniary consideration, including any service or administration fee or charge, in respect of the grant, renewal or continuance of a protected tenancy, other than rent and a refundable deposit;b) to regulate the maximum amount that can be charged to a tenant by way of a refundable deposit;c) to decrease the cost of renting to private tenants and remove barriers to first time renters and those on low incomes; and d) to establish a statutory redress scheme for private tenants with disputes in relation to letting or management agent fees."
"343","NDM6277","NNDM6277 - Debate on Members’ Legislative Proposal","Rhun ap Iorwerth",2017-03-22,2017-03-22,"To propose that the National Assembly for Wales:1. Notes the proposal for a green public vehicles bill2. The aim of this bill would be to:a) encourage the use of electric vehicles or zero-emissions vehicles in Wales in order to help reduce carbon emissions; andb) place a duty on the Welsh Government and other public bodies to develop a strategy for moving towards using electric vehicles or zero-emissions vehicles in the public fleet in Wales."
"344","NDM6279","NNDM6279 - Assembly Debate","Elin Jones",2017-03-24,2017-03-24,"To propose that the National Assembly for Wales, in accordance with Standing Orders 33.6 and 33.8:Suspends that part of Standing Order 11.16 that requires the weekly statement and announcement under Standing Order 11.11 to constitute the timetable for business in Plenary for the following week, to allow:a) NDM6267, tabled by David Rees, to be considered in Plenary on Tuesday 28 March 2017; andb) Short Debate NDM6266, tabled by Dawn Bowden, to be considered in Plenary on Wednesday 29 March 2017."
"347","NDM6289","NNDM6289 - Government Debate","Jane Hutt",2017-04-03,2017-04-03,"To propose that the National Assembly for Wales:1. Reiterates its strong support for the Welsh Government – Plaid Cymru White Paper, ""Securing Wales Future"" ­­ as a credible and comprehensive approach to protecting and promoting Wales' interests as the UK leaves the European Union.2. Takes note of the letter sent by the Prime Minister on 29 March 2017 in accordance with Article 50 of the Treaty of European Union, and the draft negotiating mandate published by the President of the European Council in response.3. Further notes the UK Government's White Paper ""Legislating for the United Kingdom's withdrawal from the European Union"", published on 30 March 2017, setting out its proposals for legislation to give effect to the United Kingdom's withdrawal from the European Union but believes the analysis of the inter-relationship between the current powers of the EU and the devolution settlement is deeply flawed.4. Reiterates that constitutional and governmental structures following the United Kingdom's exit from the European Union must be based on full respect for the devolution settlement, and improved arrangements for the conduct of  inter-governmental relations based on mutual respect and parity of esteem between the four governments in the UK.5. Further reiterates in the strongest terms that any frameworks relating to policy areas that are devolved that may be needed to ensure the smooth functioning of the UK market must be agreed by consensus between the UK Government and all three Devolved Administrations and be subject to independent dispute resolution mechanisms. The starting point for such common approaches and frameworks must be through agreement and consensus.6. Supports the Welsh Government in continuing to press the UK Government for direct participation in the negotiations on the UK's withdrawal from, and future trading and other relations with, the European Union, to ensure protection of distinctive Welsh interests.7. Reaffirms its view that there should be no financial disadvantage to Wales arising from the UK's exit from the European Union, and calls on the UK Government to make a full and public commitment to that effect.8. Notes the Welsh Government's commitment to report regularly to the Assembly on progress in relation to these matters.Securing Wales' FuturePrime Minister's letter triggering Article 50EU Draft Guidelines for Brexit NegotiationsLegislating for the United Kingdom's withdrawal from the European Union"
